group,line,priority,Investigator,NASA.Log,obsorturl,rflurl,rflhdr,Site.Name,pixel.size..m.,solar.azimuth,solar.elevation,start_time,line_id
2021-06-19_2,ang20210619t104125,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t104125.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t104125rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t104125rfl.hdr,396_ETNA_6,0.9,162.1,14.9,2021/06/19 10:41:25+00,6444
2021-06-19_2,ang20210619t104604,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t104604.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t104604rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t104604rfl.hdr,396_ETNA_2,0.9,166.13,14.65,2021/06/19 10:46:04+00,6445
2021-06-19_2,ang20210619t105041,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t105041.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t105041rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t105041rfl.hdr,396_ETNA_7,1,170.33,14.46,2021/06/19 10:50:41+00,6446
2021-06-19_2,ang20210619t105357,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t105357.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t105357rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t105357rfl.hdr,396_ETNA_3,0.9,173.27,14.37,2021/06/19 10:53:57+00,6447
2021-06-19_2,ang20210619t105729,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t105729.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t105729rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t105729rfl.hdr,396_ETNA_8,1.1,176.6,14.31,2021/06/19 10:57:29+00,6448
2021-06-19_2,ang20210619t110113,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t110113.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t110113rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t110113rfl.hdr,396_ETNA_4,0.9,180.01,14.29,2021/06/19 11:01:13+00,6449
2021-06-19_2,ang20210619t110439,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t110439.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t110439rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t110439rfl.hdr,396_ETNA_9,1.1,183.27,14.31,2021/06/19 11:04:39+00,6450
2021-06-19_2,ang20210619t110800,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t110800.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t110800rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t110800rfl.hdr,396_ETNA_5,1,186.31,14.36,2021/06/19 11:08:00+00,6451
2021-06-19_2,ang20210619t111136,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t111136.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t111136rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t111136rfl.hdr,396_ETNA_10,1.2,189.67,14.47,2021/06/19 11:11:36+00,6452
2021-06-19_2,ang20210619t111510,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t111510.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t111510rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t111510rfl.hdr,396_ETNA_11,1.4,192.91,14.6,2021/06/19 11:15:10+00,6453
2021-06-19_3,ang20210619t113407,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t113407.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t113407rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t113407rfl.hdr,397_madonia_4,0.8,205.24,15.69,2021/06/19 11:34:07+00,6454
2021-06-19_3,ang20210619t113707,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t113707.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t113707rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t113707rfl.hdr,397_madonia_1,0.7,207.53,15.95,2021/06/19 11:37:07+00,6455
2021-06-19_3,ang20210619t114033,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t114033.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t114033rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t114033rfl.hdr,397_madonia_3,0.7,210.14,16.28,2021/06/19 11:40:33+00,6456
2021-06-19_3,ang20210619t114354,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t114354.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t114354rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t114354rfl.hdr,397_madonia_2,0.7,212.55,16.63,2021/06/19 11:43:54+00,6457
2021-06-22_1,ang20210622t092241,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210622t092241.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t092241rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t092241rfl.hdr,378_AVIRIS_2021_Jolanda_2,5.5,124.07,31.2,2021/06/22 09:22:41+00,6459
2021-06-22_1,ang20210622t093112,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210622t093112.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t093112rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t093112rfl.hdr,378_AVIRIS_2021_Jolanda_1,5.5,127,29.99,2021/06/22 09:31:12+00,6460
2021-06-22_2,ang20210622t102038,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210622t102038.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t102038rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t102038rfl.hdr,Bracciano_1,0.8,145.5,21.71,2021/06/22 10:20:38+00,6461
2021-06-22_2,ang20210622t102511,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210622t102511.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t102511rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t102511rfl.hdr,Bracciano_4,0.8,148.08,21.24,2021/06/22 10:25:11+00,6462
2021-06-22_2,ang20210622t102953,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210622t102953.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t102953rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t102953rfl.hdr,Bracciano_2,0.8,150.8,20.81,2021/06/22 10:29:53+00,6463
2021-06-22_2,ang20210622t103412,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210622t103412.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t103412rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t103412rfl.hdr,Bracciano_5,0.8,153.44,20.43,2021/06/22 10:34:12+00,6464
2021-06-22_2,ang20210622t103845,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210622t103845.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t103845rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210622t103845rfl.hdr,Bracciano_3,0.8,156.25,20.07,2021/06/22 10:38:45+00,6465
