jplgroup,Lines,url,rfl,rflhdr
2017_07_08_c04,ang20170708t210315,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t210315.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t210315_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t210315_rfl.hdr
2017_07_08_c04,ang20170708t211541,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t211541.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t211541_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t211541_rfl.hdr
2017_07_08_c04,ang20170708t212546,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t212546.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t212546_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t212546_rfl.hdr
2017_07_08_c04,ang20170708t213057,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t213057.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t213057_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t213057_rfl.hdr
2017_07_08_c04,ang20170708t214134,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t214134.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t214134_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t214134_rfl.hdr
2017_07_08_c04,ang20170708t230956,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t230956.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t230956_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t230956_rfl.hdr
2017_07_08_c04,ang20170708t232509,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t232509.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t232509_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t232509_rfl.hdr
2017_07_08_c04,ang20170708t233803,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t233803.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t233803_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t233803_rfl.hdr
2017_07_09_c00,ang20170709t000442,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t000442.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t000442_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t000442_rfl.hdr
2017_07_09_c00,ang20170709t001900,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t001900.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t001900_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t001900_rfl.hdr
2017_07_09_c00,ang20170709t003728,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t003728.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t003728_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t003728_rfl.hdr
2017_07_09_c00,ang20170709t004846,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t004846.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t004846_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t004846_rfl.hdr
2017_07_09_c01,ang20170709t010449,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t010449.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t010449_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t010449_rfl.hdr
